location,size_cluster,mean_rent,count_rent,mean_sale,count_sale,mean_rent_yrly,ratio
"Corso Francia, Vigna Clara, Fleming, Ponte Milvio",mini,22.0,1,4429.666666666667,9,264.0,0.059598163894950706
"Corso Francia, Vigna Clara, Fleming, Ponte Milvio",regular,17.529411764705884,17,4667.861111111111,36,210.3529411764706,0.04506409598943688
"Corso Francia, Vigna Clara, Fleming, Ponte Milvio",small,17.612903225806452,31,5182.54347826087,46,211.35483870967744,0.04078206764617492
"Eur, Torrino, Tintoretto",big,12.5625,32,3286.3571428571427,280,150.75,0.045871459931752484
"Eur, Torrino, Tintoretto",huge,12.277777777777779,36,3799.506787330317,221,147.33333333333334,0.038776962795441024
"Eur, Torrino, Tintoretto",mini,16.0,3,4034.8571428571427,7,192.0,0.047585327857244016
"Eur, Torrino, Tintoretto",regular,14.6,25,3878.256880733945,109,175.2,0.04517493435526222
"Eur, Torrino, Tintoretto",small,17.0,27,4017.261261261261,111,204.0,0.05078086455745028
"Garbatella, Navigatori, Ostiense",big,10.333333333333334,3,3458.5353535353534,99,124.0,0.03585332729741965
"Garbatella, Navigatori, Ostiense",huge,12.0,1,3409.896551724138,29,144.0,0.042230020123979896
"Garbatella, Navigatori, Ostiense",regular,13.8,10,3750.206896551724,87,165.60000000000002,0.044157563720622316
"Garbatella, Navigatori, Ostiense",small,18.25,12,4295.122448979592,49,219.0,0.05098806904842227
"Gregorio VII, Baldo degli Ubaldi",big,17.52173913043478,23,3695.564705882353,170,210.26086956521738,0.056895464238669174
"Gregorio VII, Baldo degli Ubaldi",huge,15.444444444444445,9,3913.3576642335765,137,185.33333333333334,0.04735916040263867
"Gregorio VII, Baldo degli Ubaldi",mini,22.285714285714285,7,4900.333333333333,3,267.42857142857144,0.054573546989028936
"Gregorio VII, Baldo degli Ubaldi",regular,17.5,14,4005.103092783505,97,210.0,0.05243310724719752
"Gregorio VII, Baldo degli Ubaldi",small,19.863636363636363,22,4432.1551724137935,58,238.36363636363637,0.05378052597238406
"Labaro, Prima Porta, Valle Muricana",big,11.714285714285714,7,1907.620253164557,79,140.57142857142856,0.07368941923227865
